date,ticker,tenor,parspread,convspreard,upfront,runningcoupon,primarycoupon,close_price,financial_debt_ratio,implied_vol,par_spread_error,delta,gamma
2021-03-09,XRX,5Y,0.01651332,0.01600711,-0.15261614,0.05,N,26.51,22.82923208014077,0.2951988333742392,5.0489827596589265e-11,-0.0012015345908457514,0.00010668623021330842
2021-03-10,XRX,5Y,0.01634074,0.01644979,0.02891075,0.01,Y,26.53,22.82923208014077,0.29441052857226446,6.457167092688287e-11,-0.001193033686769658,0.00010614656970649172
2021-03-11,XRX,5Y,0.01593579,0.01603753,0.02710137,0.01,Y,26.58,22.82923208014077,0.2925611331669177,1.1542690067645189e-10,-0.001172806551033287,0.00010484588517334359
2021-03-12,XRX,5Y,0.01608659,0.01558839,-0.15467537,0.05,N,26.91,22.82923208014077,0.2954391732973245,8.36484770339041e-11,-0.0011616386379153252,0.00010218583177534074
2021-03-15,XRX,5Y,0.01602556,0.01612869,0.0274228,0.01,Y,26.06,22.82923208014077,0.2897353049258723,1.1776948513619878e-10,-0.0012055462284854936,0.00010997045888582954
2021-03-16,XRX,5Y,0.01591166,0.0154137,-0.15512874,0.05,N,25.62,22.82923208014077,0.2862810011907419,1.5788634982749628e-10,-0.0012257947133824986,0.00011415357267268583
2021-03-17,XRX,5Y,0.01624558,0.01635474,0.02838861,0.01,Y,26.02,22.82923208014077,0.2906481584376205,8.625130470951703e-11,-0.001217565274978391,0.00011084113121694744
2021-03-18,XRX,5Y,0.01646454,0.01593535,-0.15240603,0.05,N,24.8,22.82923208014077,0.28374927532576616,8.826885403157014e-11,-0.0013015664826079307,0.00012445570632451178
2021-03-19,XRX,5Y,0.01654804,0.01667002,0.02972198,0.01,Y,24.79,22.82923208014077,0.28411539626966464,7.844550009572515e-11,-0.0013060849151980154,0.00012477051306782408
2021-03-22,XRX,5Y,0.01854673,0.01789993,-0.15533297,0.05,N,24.84,22.82923208014077,0.29456691961197534,4.626670574436886e-12,-0.0013922688766079012,0.0001286730152111719
2021-03-23,XRX,5Y,0.01880377,0.0190265,0.04345615,0.01,Y,23.63,22.82923208014077,0.2873140173891974,4.5642864487938084e-12,-0.0014918787906359268,0.00014510779992844836
2021-03-24,XRX,5Y,0.01877626,0.01900192,0.0433476,0.01,Y,23.48,22.82923208014077,0.28609652700407245,4.934355007923941e-12,-0.0015022916614105628,0.0001472035236926815
2021-03-25,XRX,5Y,0.01945361,0.01877096,-0.15047237,0.05,N,24.43,22.82923208014077,0.2961432133033165,1.51744589116376e-12,-0.0014604836179380135,0.00013572099586704398
2021-03-26,XRX,5Y,0.01955792,0.0188865,-0.14975504,0.05,N,24.98,22.82923208014077,0.3004697574311808,1.124406123764743e-12,-0.0014255436286452084,0.00012909712177508123
2021-03-29,XRX,5Y,0.01945479,0.01876253,-0.15012385,0.05,N,24.25,22.82923208014077,0.2948805683781382,1.595005377774683e-12,-0.0014738256369482318,0.00013807356966402673
2021-03-30,XRX,5Y,0.01941596,0.01874718,-0.15005327,0.05,N,24.5,22.82923208014077,0.29645250773537496,1.5643805695297885e-12,-0.0014537591591543345,0.0001347424672527367
2021-03-31,XRX,5Y,0.01941217,0.01965089,0.04612254,0.01,Y,24.27,22.82923208014077,0.2948169341523754,1.6793198776010598e-12,-0.0014704893256577457,0.0001377169579937429
2021-04-01,XRX,5Y,0.01913531,0.01847097,-0.15127441,0.05,N,24.59,22.82923208014077,0.29572197728839233,2.226278189576547e-12,-0.001435207367923113,0.00013300443202596962
2021-04-05,XRX,5Y,0.01876043,0.01809453,-0.15287101,0.05,N,24.78,22.82923208014077,0.29520665706845134,3.511257257171607e-12,-0.0014056524550961971,0.00012985562050712995
2021-04-06,XRX,5Y,0.01867256,0.0188868,0.04243541,0.01,Y,25.05,22.82923208014077,0.29662430445518007,3.663683939558737e-12,-0.0013833660580783985,0.00012644575660188465
2021-04-07,XRX,5Y,0.01855697,0.0187625,0.04189097,0.01,Y,25.0,22.82923208014077,0.295712296641386,4.356896787793829e-12,-0.0013818000274990194,0.0001267904793619129
2021-04-08,XRX,5Y,0.01834863,0.01770045,-0.15506446,0.05,N,24.73,22.82923208014077,0.29283114489075873,6.272621311254056e-12,-0.001391205901348995,0.00012957558188123053
2021-04-09,XRX,5Y,0.01831783,0.01851907,0.04076424,0.01,Y,24.89,22.82923208014077,0.2937757613883176,6.254032014485489e-12,-0.0013789182125691843,0.00012758315791545904
2021-04-12,XRX,5Y,0.01836837,0.01773806,-0.15460396,0.05,N,24.93,22.82923208014077,0.29430004979696267,5.765662253187642e-12,-0.0013784013344591717,0.0001272165951470179
2021-04-13,XRX,5Y,0.0186648,0.018875,0.04228969,0.01,Y,24.54,22.82923208014077,0.2930765376300139,4.28561353071899e-12,-0.0014183294317041233,0.0001326145153201022
2021-04-14,XRX,5Y,0.01856325,0.01792486,-0.15353124,0.05,N,24.69,22.82923208014077,0.293615977282319,4.720706464622637e-12,-0.0014033589499130063,0.00013053141771452587
2021-04-15,XRX,5Y,0.01834265,0.01770215,-0.15466199,0.05,N,24.74,22.82923208014077,0.29287030285962484,6.3067814859429916e-12,-0.001390255119332634,0.00012944094416657975
2021-04-16,XRX,5Y,0.01826337,0.01763358,-0.15508205,0.05,N,25.07,22.82923208014077,0.2947310373869545,6.4046927483740745e-12,-0.0013644474279611851,0.00012535042317467215
2021-04-19,XRX,5Y,0.01838791,0.0177414,-0.15420301,0.05,N,25.32,22.82923208014077,0.2970415025256688,5.013437581746771e-12,-0.0013532646203533172,0.00012275288927829364
2021-04-20,XRX,5Y,0.01869222,0.01805114,-0.15249116,0.05,N,23.71,22.67288495375761,0.2885184995955875,4.970728689768222e-12,-0.0014783877763333165,0.00014339543804567714
2021-04-21,XRX,5Y,0.01862831,0.01883513,0.04203225,0.01,Y,24.32,22.67288495375761,0.2925337357519201,4.57222801286683e-12,-0.0014302689050943937,0.00013503877188518476
2021-04-22,XRX,5Y,0.01846791,0.01783845,-0.15357716,0.05,N,23.96,22.67288495375761,0.2892072601766948,6.303974703358861e-12,-0.001449387271113085,0.00013942537090655058
2021-04-23,XRX,5Y,0.0185891,0.01879303,0.041796,0.01,Y,24.38,22.67288495375761,0.2927610433247845,4.743157255848729e-12,-0.0014242264096490445,0.00013418110762695307
2021-04-26,XRX,5Y,0.0185807,0.01878371,0.04167319,0.01,Y,24.42,22.67288495375761,0.2929991011559801,4.743767878512273e-12,-0.001420998524961286,0.00013365264603793642
2021-04-27,XRX,5Y,0.01859275,0.01796444,-0.15239044,0.05,N,24.25,22.67288495375761,0.2918679691582804,4.8968919197367455e-12,-0.001433747467713662,0.00013586565078518853
2021-04-28,XRX,5Y,0.01854753,0.01791494,-0.1524995,0.05,N,24.52,22.67288495375761,0.2935321767349541,4.825001509445315e-12,-0.0014124454653942752,0.00013231735572353728
2021-04-29,XRX,5Y,0.01854767,0.0179155,-0.15250152,0.05,N,24.61,22.67288495375761,0.2941572902852705,4.701093681003243e-12,-0.0014061259764000852,0.00013119671016440307
2021-04-30,XRX,5Y,0.01854789,0.01791638,-0.15241159,0.05,N,24.14,23.08445629643047,0.28781199310291045,6.054462486915213e-12,-0.0014454816061196946,0.0001379957654683156
2021-05-03,XRX,5Y,0.01855062,0.01791021,-0.15223962,0.05,N,24.1,23.08445629643047,0.2875432624978763,6.097379545710879e-12,-0.0014485432245378658,0.00013853453877401764
2021-05-04,XRX,5Y,0.01895701,0.01831545,-0.15002431,0.05,N,23.84,23.08445629643047,0.2876675310443277,3.762854611233379e-12,-0.0014863529171339363,0.00014301781569811892
2021-05-05,XRX,5Y,0.01903607,0.01839544,-0.14955498,0.05,N,23.87,23.08445629643047,0.28826296904275117,3.3543133548530335e-12,-0.0014876210311404008,0.0001427829764948027
2021-05-06,XRX,5Y,0.01946924,0.01882385,-0.14724887,0.05,N,24.32,23.08445629643047,0.2935381072348787,1.6551308934520392e-12,-0.001472873139959148,0.00013767035434088248
2021-05-07,XRX,5Y,0.01954916,0.01978371,0.04600639,0.01,Y,24.47,23.08445629643047,0.2949757022054457,1.4259322889120796e-12,-0.0014652551114555275,0.0001358897532021952
2021-05-10,XRX,5Y,0.01963743,0.01987901,0.04639586,0.01,Y,24.14,23.08445629643047,0.2930682138628885,1.3899749407020323e-12,-0.0014936714588886391,0.0001404343775911164
2021-05-11,XRX,5Y,0.02014734,0.01949549,-0.1434124,0.05,N,23.98,23.08445629643047,0.29434065634271334,8.853664329455668e-12,-0.0015280880843254133,0.00014374036399255816
2021-05-12,XRX,5Y,0.0207852,0.02107167,0.05167995,0.01,Y,22.85,23.08445629643047,0.28898544249165575,1.44131234725009e-12,-0.0016501214379298496,0.00016231302686526422
2021-05-13,XRX,5Y,0.02092648,0.02026917,-0.13902653,0.05,N,23.17,23.08445629643047,0.29203461817706033,1.1474814154421864e-12,-0.0016285008294746085,0.0001574812996391478
2021-05-14,XRX,5Y,0.02076386,0.02104237,0.05147669,0.01,Y,24.21,23.08445629643047,0.29887622411261394,2.2496553231388106e-12,-0.0015364301634188723,0.00014188933655960925
2021-05-17,XRX,5Y,0.02086478,0.02022516,-0.13907765,0.05,N,24.31,23.08445629643047,0.3000602317715052,1.823572542969387e-12,-0.0015329003435911037,0.00014074654587744456
2021-05-18,XRX,5Y,0.02112953,0.02142558,0.05307705,0.01,Y,23.72,23.08445629643047,0.29702820701116167,8.379616445175486e-13,-0.0015910530155291078,0.00014957565350052354
2021-05-19,XRX,5Y,0.02184794,0.02118837,-0.13392946,0.05,N,23.82,23.08445629643047,0.3010449516581732,3.413881489652826e-08,-0.0016130290433372732,0.00014970349894560808
2021-05-20,XRX,5Y,0.02201794,0.02135865,-0.13290358,0.05,N,23.68,23.08445629643047,0.3007878696326149,4.932046770295129e-08,-0.001631819913636888,0.0001521512867542693
2021-05-21,XRX,5Y,0.02200537,0.02233337,0.05700833,0.01,Y,23.74,23.08445629643047,0.3011724851257869,4.7836513375476564e-08,-0.001626247072356396,0.00015123221591260144
2021-05-24,XRX,5Y,0.02202403,0.02138108,-0.13259017,0.05,N,23.89,23.08445629643047,0.30235626374585056,4.783434381233631e-08,-0.0016145173795117825,0.00014907857190817747
2021-05-25,XRX,5Y,0.02222027,0.02256042,0.05790357,0.01,Y,23.39,23.08445629643047,0.29954883692098383,4.665156234234802e-08,-0.0016651704450395734,0.00015680260751948713
2021-05-26,XRX,5Y,0.0224605,0.02181568,-0.13034726,0.05,N,23.75,23.08445629643047,0.3032980507150822,3.6991012551668145e-08,-0.0016441973850286236,0.0001518556776406374
2021-05-27,XRX,5Y,0.02217123,0.02250201,0.05762731,0.01,Y,23.99,23.08445629643047,0.30375241423491345,5.329708131426858e-08,-0.0016122974455924002,0.00014773840674891028
2021-05-28,XRX,5Y,0.0221433,0.0224766,0.05747453,0.01,Y,23.45,23.08445629643047,0.2996499562864659,5.139223788544478e-08,-0.0016567205168296108,0.00015569948080348256
2021-06-01,XRX,5Y,0.0223187,0.02265,0.05812778,0.01,Y,23.42,23.08445629643047,0.3002144804785126,4.180426455349662e-08,-0.001666689215402627,0.00015655630472444573
2021-06-02,XRX,5Y,0.02223307,0.02159777,-0.13097059,0.05,N,24.04,23.08445629643047,0.3043963797043686,4.9905139819228506e-08,-0.001610708007222749,0.00014715749807326511
2021-06-03,XRX,5Y,0.02247638,0.02282394,0.05882539,0.01,Y,23.99,23.08445629643047,0.30513026881321503,3.738302680952876e-08,-0.0016247129839558356,0.00014838505304499636
2021-06-04,XRX,5Y,0.02249707,0.02185584,-0.12947258,0.05,N,24.19,23.08445629643047,0.3066784790903364,3.735498980278473e-08,-0.001609100816089169,0.00014559486199631003
2021-06-07,XRX,5Y,0.02246482,0.02280334,0.05863272,0.01,Y,24.07,23.08445629643047,0.30566145617757334,3.8248709092331135e-08,-0.0016176332675603231,0.00014721854895509076
2021-06-08,XRX,5Y,0.02227147,0.02163951,-0.13042326,0.05,N,24.82,23.08445629643047,0.3101618188497587,5.214271639117363e-08,-0.0015504114491342834,0.0001367147228990978
2021-06-09,XRX,5Y,0.02212687,0.02148159,-0.13121913,0.05,N,25.16,23.08445629643047,0.31188498502147477,4.4857419521926456e-08,-0.001519213582874145,0.00013239734578248882
2021-06-10,XRX,5Y,0.0220048,0.02136155,-0.13183351,0.05,N,25.09,23.08445629643047,0.31083597069403823,3.538377661704839e-08,-0.0015196774159984983,0.0001330118513166896
2021-06-11,XRX,5Y,0.02189703,0.02221,0.05600754,0.01,Y,25.27,23.08445629643047,0.3115904979282195,2.3498016778894515e-08,-0.0015022687133137754,0.00013060715649004448
2021-06-14,XRX,5Y,0.02183313,0.02214104,0.05559582,0.01,Y,24.41,23.08445629643047,0.3052452046467528,2.6183709134902644e-08,-0.0015648007030945234,0.00014140301781012318
2021-06-15,XRX,5Y,0.02167446,0.02197692,0.05482243,0.01,Y,24.55,23.08445629643047,0.30551493937135676,7.200426095643753e-09,-0.0015475037991635812,0.00013919341464320445
2021-06-16,XRX,5Y,0.02175131,0.02205833,0.05514819,0.01,Y,24.65,23.08445629643047,0.30657759030763015,1.4822232965311377e-08,-0.0015428893771796768,0.0001380511855168555
2021-06-17,XRX,5Y,0.02175521,0.02111689,-0.13227477,0.05,N,23.63,23.08445629643047,0.2992284486876387,2.7710733114388875e-08,-0.0016250326236530218,0.00015229969855932654
2021-06-18,XRX,5Y,0.02185788,0.022175,0.05548719,0.01,Y,23.43,23.08445629643047,0.2982138629168331,3.932106808907099e-08,-0.0016463992025420957,0.00015557669764063378
2021-06-21,XRX,5Y,0.02185897,0.02217017,0.0553761,0.01,Y,23.75,23.08445629643047,0.3005820941727774,3.589067323894746e-08,-0.0016193146122599304,0.00015075510666937714
2021-06-22,XRX,5Y,0.02207107,0.02239644,0.05631791,0.01,Y,23.38,23.08445629643047,0.2988032436374082,5.533800428308977e-08,-0.001659747250406093,0.00015662041570372806
2021-06-23,XRX,5Y,0.02206221,0.02238053,0.05625253,0.01,Y,23.43,23.08445629643047,0.29913639649868073,5.4676757559046774e-08,-0.001655041005802044,0.00015604692097244063
2021-06-24,XRX,5Y,0.02200346,0.02137761,-0.1304213,0.05,N,23.83,23.08445629643047,0.3018240962658945,4.6849623094175064e-08,-0.0016186476522914803,0.00014990560334377998
2021-06-25,XRX,5Y,0.02196711,0.02228738,0.05574296,0.01,Y,24.33,23.08445629643047,0.3052843333456156,3.920424159961633e-08,-0.001576524877970071,0.00014277449231087092
2021-06-28,XRX,5Y,0.02189747,0.02220659,0.05529233,0.01,Y,23.83,23.08445629643047,0.3013431751586894,3.8356343982914876e-08,-0.0016142563179321855,0.000149669146210403
2021-06-29,XRX,5Y,0.02180891,0.02211256,0.05488156,0.01,Y,23.34,23.08445629643047,0.29732236550348196,3.613951047795605e-08,-0.0016520903361762294,0.0001568581822595609
2021-06-30,XRX,5Y,0.02179804,0.02210059,0.05480639,0.01,Y,23.49,23.08445629643047,0.2983882455987426,3.3413748174587754e-08,-0.0016387180143047422,0.00015451650124421318
2021-07-01,XRX,5Y,0.02176678,0.02113715,-0.13118394,0.05,N,23.82,23.08445629643047,0.3006757631353427,2.6515110315705748e-08,-0.0016096517643125717,0.00014951923001744333
2021-07-02,XRX,5Y,0.02227407,0.02259513,0.05685786,0.01,Y,24.03,23.08445629643047,0.3045090601382685,4.752556424097998e-08,-0.0016131970118457694,0.00014738689947118785
2021-07-06,XRX,5Y,0.02154704,0.02092024,-0.13200248,0.05,N,23.7,23.08445629643047,0.2987951242624518,3.886045742140798e-09,-0.0016104021235579039,0.00015077011396416595
2021-07-07,XRX,5Y,0.02134851,0.02071262,-0.13310974,0.05,N,24.1,23.08445629643047,0.3007944829744542,5.547680370643349e-13,-0.001569500758995689,0.0001446134781870924
2021-07-08,XRX,5Y,0.02178932,0.02115899,-0.13081983,0.05,N,23.82,23.08445629643047,0.300778351153473,2.8702508300670893e-08,-0.001610590453520109,0.00014957059225310237
2021-07-09,XRX,5Y,0.0217522,0.02111411,-0.13108704,0.05,N,24.11,23.08445629643047,0.3027179951845825,2.150065389269762e-08,-0.0015853683236993332,0.00014534249049895712
2021-07-12,XRX,5Y,0.02174677,0.02205737,0.05437739,0.01,Y,24.07,23.08445629643047,0.3024037716262133,2.142901840349043e-08,-0.0015883729456330504,0.00014589197244767663
2021-07-13,XRX,5Y,0.02183307,0.02119096,-0.13028515,0.05,N,23.38,23.08445629643047,0.29772968498274904,3.777412026575999e-08,-0.001649657452925151,0.00015629232084666406
2021-07-14,XRX,5Y,0.02182011,0.02119064,-0.13012071,0.05,N,23.6,23.08445629643047,0.29930183828888607,3.412524911608483e-08,-0.0016302963345225067,0.0001528999792417135
2021-07-15,XRX,5Y,0.02195658,0.02131966,-0.12950757,0.05,N,23.32,23.08445629643047,0.2978399514675433,4.8267144593661104e-08,-0.0016601206286297205,0.0001575164331486488
2021-07-16,XRX,5Y,0.02199384,0.02136811,-0.12923712,0.05,N,22.56,23.08445629643047,0.2922395613310223,5.3784722026800624e-08,-0.0017305153379123007,0.00016997792823442853
2021-07-19,XRX,5Y,0.02241294,0.02274657,0.05712529,0.01,Y,21.95,23.08445629643047,0.28932617367135716,3.037090506169404e-08,-0.0018086724485844516,0.0001822329866539435
2021-07-20,XRX,5Y,0.02242289,0.02179705,-0.12700887,0.05,N,22.61,23.08445629643047,0.29453353118742737,3.317214871886853e-08,-0.0017446653106443083,0.00017014013062775085
2021-07-21,XRX,5Y,0.02235772,0.02173636,-0.12728893,0.05,N,23.7,23.08445629643047,0.3024673567557985,4.141605588342534e-08,-0.0016442123094527871,0.00015237894666770765
2021-07-22,XRX,5Y,0.02233523,0.02265954,0.05673053,0.01,Y,23.25,23.08445629643047,0.2990158269137501,4.0102903154509706e-08,-0.0016823272818789307,0.00015926495251226969
2021-07-23,XRX,5Y,0.02210792,0.02147906,-0.12840386,0.05,N,23.43,23.08445629643047,0.29934180093961,5.339183311095508e-08,-0.0016569631208509933,0.00015592846313599446
2021-07-26,XRX,5Y,0.02208145,0.02239313,0.05550077,0.01,Y,23.62,23.08445629643047,0.3006322206851521,5.4301795469891e-08,-0.001639551968129354,0.00015319241794656963
2021-07-27,XRX,5Y,0.02196396,0.02227673,0.05497134,0.01,Y,24.81,23.26870747435831,0.30729467980484776,3.6215382148013786e-08,-0.0015418287512048278,0.0001367847692246675
2021-07-28,XRX,5Y,0.02168926,0.02106588,-0.13016324,0.05,N,24.38,23.26870747435831,0.30298548912122863,1.3712535756188471e-08,-0.001564086797439369,0.0001418534936269665
2021-07-29,XRX,5Y,0.02152716,0.02090474,-0.13089623,0.05,N,24.28,23.26870747435831,0.30152686460449096,3.631678291426965e-13,-0.0015653455401254523,0.00014285850200175185
2021-07-30,XRX,5Y,0.02140618,0.02079486,-0.13133213,0.05,N,24.13,23.26870747435831,0.29989411689121126,4.646109885708682e-13,-0.001572263578113629,0.00014467894543744933
2021-08-02,XRX,5Y,0.0213413,0.02073348,-0.13149307,0.05,N,24.08,23.26870747435831,0.29923589279653534,5.34041560973364e-13,-0.001573563055312966,0.0001452427416896787
2021-08-03,XRX,5Y,0.02138899,0.02167164,0.05225703,0.01,Y,24.37,23.26870747435831,0.301535536252043,5.143559189679792e-13,-0.0015526140873518383,0.0001413606169109599
2021-08-04,XRX,5Y,0.02151233,0.02090418,-0.13063245,0.05,N,23.44,23.26870747435831,0.29533927973396273,6.723880258130421e-09,-0.001633689450037919,0.00015499818017623498
2021-08-05,XRX,5Y,0.02148358,0.02176916,0.05260826,0.01,Y,23.48,23.702353881736496,0.2923009917254401,9.65904666319628e-09,-0.0016357027079796516,0.00015523549223988783
